From,To,Relation,Relation_details,Actor_A_OCgroupmemberships,Actor_B_OCgroupmemberships
187,1654,Associate/Friendship,Associate,G52,NONE
187,1870,Associate/Friendship,Associate,G52,NONE
187,1482,Associate/Friendship,Associate,G52,G52
187,188,Co-Offenders,Same Cell,G52,G52
189,190,Kinship,father/ son,NONE,NONE
190,662,Associate/Friendship,former associate,NONE,NONE
192,1968,Co-Offenders,rented hotel to deal drugs,G20,G20
201,1260,Legitimate,worked for  1263,NONE,NONE
201,437,Legitimate,bt have worked for  438,NONE,G99
205,1071,Co-Offenders,Cocaine,NONE,NONE
207,1794,Co-Offenders,marihuana exportation,G30,"G23, G30, G43"
218,1700,Negative/Enemies,"involved in a drug rip, resulting in the shooting of 219",G9,G93
221,1284,Legitimate,Blackberry registered to 1287,G81,"G47, G81"
223,1916,Co-Offenders,weapons,NONE,NONE
223,400,Associate/Friendship,Associate,NONE,G56
223,400,Co-Offenders,weapons,NONE,G56
226,1720,Associate/Friendship,associate,G50,"G39, G68"
226,1720,Formal Criminal Organization,,G50,"G39, G68"
234,545,Associate/Friendship,Associate,NONE,NONE
234,685,Associate/Friendship,Associate,NONE,NONE
234,1543,Legitimate,director,NONE,NONE
34,237,Associate/Friendship,associate,G9,NONE
34,237,Co-Offenders,same cell,G9,NONE
34,237,Formal Criminal Organization,,G9,NONE
237,262,Associate/Friendship,associate,G9,NONE
237,296,Associate/Friendship,boyfriend/ girlfriend,G9,NONE
237,296,Legitimate,owner/ manager,G9,NONE
237,395,Associate/Friendship,associate,G9,NONE
237,772,Associate/Friendship,associate,G9,NONE
237,772,Formal Criminal Organization,Ch2,G9,NONE
237,773,Co-Offenders,btb drug trafficking,G9,NONE
237,773,Formal Criminal Organization,Ch2,G9,NONE
237,773,Legitimate,business  is next door,G9,NONE
237,1020,Associate/Friendship,associate,G9,NONE
237,1641,Associate/Friendship,associate,G9,NONE
237,1969,Co-Offenders,btb cocaine/ money courier,G9,NONE
237,2028,Associate/Friendship,associate,G9,NONE
237,2028,Formal Criminal Organization,,G9,NONE
237,2178,Associate/Friendship,associate,G9,NONE
237,559,Associate/Friendship,associate,G9,G121
237,492,Associate/Friendship,Associate,G9,"G16, G27, G38, G58"
237,492,Co-Offenders,btb drug trafficking associate,G9,"G16, G27, G38, G58"
237,1953,Co-Offenders,drug supplier,G9,"G40, G90"
51,237,Co-Offenders,same cell,G9,"G8, G9, G10, G24"
51,237,Formal Criminal Organization,Ch2,G9,"G8, G9, G10, G24"
